# pair_index, img_from, img_to, component_id, start_x, start_y, end_x, end_y, centroid_x, centroid_y, unit_dir_x, unit_dir_y, length_px, angle_rad, size_pixels
104, generated104.png, generated105.png, 1, 201.444, 551.289, 225.629, 597.830, 213.617, 574.714, 0.461090, 0.887353, 52.450, 1.091573, 1089
105, generated105.png, generated106.png, 1, 86.642, 232.728, 38.705, 295.422, 62.110, 264.812, -0.607406, 0.794391, 78.921, 2.223588, 2064
106, generated106.png, generated107.png, 1, 366.845, 475.564, 393.931, 528.036, 380.480, 501.977, 0.458698, 0.888592, 59.050, 1.094267, 1288
107, generated107.png, generated108.png, 1, 743.831, 209.792, 739.960, 305.756, 741.691, 262.843, -0.040299, 0.999188, 96.043, 1.611107, 1376
108, generated108.png, generated109.png, 1, 67.389, 197.806, 92.954, 249.025, 80.230, 223.533, 0.446601, 0.894733, 57.245, 1.107833, 1272
109, generated109.png, generated110.png, 1, 320.977, 373.004, 227.766, 325.417, 275.503, 349.788, -0.890648, -0.454694, 104.656, -2.669564, 2478
110, generated110.png, generated111.png, 1, 266.940, 165.366, 154.546, 282.734, 206.649, 228.325, -0.691637, 0.722246, 162.505, 2.334549, 4959
111, generated111.png, generated112.png, 1, 522.111, 443.493, 452.644, 495.854, 488.127, 469.109, -0.798559, 0.601916, 86.990, 2.495694, 2686
112, generated112.png, generated113.png, 1, 745.851, 198.523, 693.737, 195.443, 718.796, 196.924, -0.998258, -0.058995, 52.204, -3.082563, 1562
113, generated113.png, generated114.png, 1, 387.214, 181.940, 309.969, 187.569, 348.028, 184.795, -0.997355, 0.072681, 77.450, 3.068848, 3555
114, generated114.png, generated115.png, 1, 737.057, 389.811, 603.951, 345.146, 674.223, 368.727, -0.948048, -0.318127, 140.400, -2.817839, 4816
115, generated115.png, generated116.png, 1, -3.746, 2.319, 18.657, 38.500, 8.934, 22.798, 0.526441, 0.850212, 42.555, 1.016387, 499
116, generated116.png, generated117.png, 1, 89.708, 448.365, 109.892, 534.383, 98.474, 485.723, 0.228442, 0.973558, 88.355, 1.340319, 3011
117, generated117.png, generated118.png, 1, 437.855, 258.317, 471.178, 337.926, 455.835, 301.272, 0.386120, 0.922448, 86.302, 1.174374, 1905
118, generated118.png, generated119.png, 1, 75.937, 97.680, 46.005, 99.102, 60.866, 98.396, -0.998873, 0.047455, 29.966, 3.094120, 447
119, generated119.png, generated120.png, 1, 538.793, 346.171, 598.885, 419.095, 571.652, 386.047, 0.635940, 0.771739, 94.493, 0.881570, 2778
