# pair_index, img_from, img_to, component_id, start_x, start_y, end_x, end_y, centroid_x, centroid_y, unit_dir_x, unit_dir_y, length_px, angle_rad, size_pixels
24, generated24.png, generated25.png, 1, 319.800, 194.210, 223.470, 274.740, 272.462, 233.784, -0.767226, 0.641376, 125.557, 2.445302, 6482
25, generated25.png, generated26.png, 1, 87.332, 356.370, -5.918, 307.230, 38.184, 330.470, -0.884681, -0.466197, 105.405, -2.656606, 4194
26, generated26.png, generated27.png, 1, 641.863, 110.922, 477.840, 73.022, 559.193, 91.820, -0.974328, -0.225134, 168.345, -2.914512, 11140
27, generated27.png, generated28.png, 1, 422.977, 136.758, 279.027, 134.903, 352.569, 135.851, -0.999917, -0.012886, 143.962, -3.128707, 5773
28, generated28.png, generated29.png, 1, 265.491, 299.098, 193.481, 331.310, 229.717, 315.100, -0.912832, 0.408336, 78.887, 2.720963, 1358
29, generated29.png, generated30.png, 1, 112.676, 213.699, 183.111, 317.635, 151.142, 270.461, 0.560992, 0.827821, 125.554, 0.975213, 7564
30, generated30.png, generated31.png, 1, 224.305, 289.728, 176.433, 297.516, 200.136, 293.660, -0.987024, 0.160571, 48.501, 2.980324, 1556
31, generated31.png, generated32.png, 1, 619.530, 163.608, 441.406, 189.765, 539.970, 175.291, -0.989389, 0.145290, 180.034, 2.995787, 2808
32, generated32.png, generated33.png, 1, 133.999, 232.004, 34.175, 216.221, 83.729, 224.056, -0.987730, -0.156171, 101.065, -2.984779, 3499
33, generated33.png, generated34.png, 1, 487.302, 202.285, 420.905, 174.224, 453.445, 187.976, -0.921113, -0.389296, 72.083, -2.741725, 1873
34, generated34.png, generated35.png, 1, 57.139, 173.404, -0.393, 171.181, 27.667, 172.265, -0.999254, -0.038615, 57.575, -3.102968, 1579
35, generated35.png, generated36.png, 1, 355.656, 255.657, 274.162, 287.935, 314.590, 271.923, -0.929731, 0.368241, 87.653, 2.764477, 2402
36, generated36.png, generated37.png, 1, 444.252, 223.203, 365.760, 188.068, 404.519, 205.417, -0.912731, -0.408560, 85.997, -2.720716, 2876
37, generated37.png, generated38.png, 1, 20.926, 142.670, 7.949, 224.264, 15.159, 178.934, -0.157072, 0.987587, 82.620, 1.728522, 2333
